CREDIT	INCOME
108878 	18360 
130900 	20670 
77801 	0 
172454 	24480 
78105 	0 
68423 	42080 
345444 	0 
69684 	0 
135182 	35496 
215563 	33100 
362375 	20400 
436900 	47875 
136353 	59313 
73294 	32640 
102219 	18360 
189165 	30600 
200000 	21718 
319400 	0 
58944 	12223 
177484 	25500 
157047 	9792 
245500 	21420 
124083 	48960 
148289 	42840 
241125 	0 
378500 	0 
150000 	0 
83462 	22583 
60000 	30970 
74472 	16320 
29933 	17340 
33091 	13056 
513800 	49146 
113900 	0 
273546 	51000 
97471 	25500 
263900 	23052 
219500 	0 
138706 	50863 
127176 	15300 
42450 	18360 
131963 	18360 
150900 	42643 
192596 	28560 
239700 	18360 
250824 	30600 
59400 	0 
562900 	45900 
196000 	33660 
118534 	22440 
68364 	0 
397294 	40800 
63040 	21073 
207375 	54882 
200000 	15300 
115695 	11220 
108929 	16320 
122973 	20994 
52163 	7140 
247167 	65658 
200000 	25500 
29006 	14994 
169255 	15300 
68922 	25500 
405200 	25500 
202800 	35700 
320000 	28560 
115271 	0 
381100 	0 
172700 	20910 
168900 	24480 
201436 	13260 
50054 	14382 
95059 	23460 
169814 	11424 
127857 	0 
167903 	20400 
80941 	20400 
118534 	21420 
104875 	25500 
180800 	0 
55155 	19380 
90529 	40800 
136286 	9132 
59882 	0 
453500 	0 
142235 	53040 
239278 	0 
147479 	26520 
406900 	41310 
52163 	12750 
118534 	25500 
45205 	0 
217843 	14280 
108341 	0 
127746 	20400 
81000 	47940 
191030 	14076 
207342 	0 
72252 	21816 
128523 	18360 
162993 	32640 
53774 	14484 
62118 	40800 
133495 	35031 
200000 	35700 
239882 	48105 
58944 	13770 
406300 	40800 
428000 	28560 
66703 	11954 
197000 	30600 
165300 	0 
236400 	0 
193163 	12240 
1433900 	38760 
31789 	0 
112111 	0 
495900 	49800 
127191 	11730 
165398 	0 
207375 	37143 
321000 	51000 
121087 	27540 
22000 	0 
57053 	30600 
91376 	6120 
100000 	47995 
208900 	0 
109235 	42395 
66000 	36838 
57368 	0 
242100 	0 
184496 	24378 
158083 	11220 
238706 	27540 
218600 	19715 
48353 	0 
36588 	0 
350000 	41310 
138446 	28439 
160100 	0 
144471 	25500 
202224 	0 
84100 	12437 
487900 	62220 
67701 	12240 
51809 	13668 
84471 	24474 
182154 	12240 
170235 	0 
111098 	11689 
109710 	27520 
181077 	25500 
129335 	11220 
72252 	10710 
153575 	76500 
129875 	61200 
153500 	51000 
157244 	10537 
44316 	0 
114235 	0 
23679 	10200 
116000 	14280 
106890 	0 
163113 	25500 
44875 	27540 
31054 	18156 
107768 	20400 
103294 	26261 
135182 	18360 
76125 	40800 
140598 	9180 
338400 	153000 
155765 	81600 
98800 	0 
152214 	10200 
335500 	0 
67765 	0 
138125 	0 
83351 	9588 
503200 	0 
107768 	27540 
174875 	38760 
194131 	12852 
131376 	27540 
66400 	13974 
275766 	46920 
251125 	27540 
86962 	12240 
167663 	20400 
250000 	70638 
34973 	12240 
145035 	0 
100000 	0 
120941 	0 
320900 	0 
236526 	14647 
251125 	71400 
109176 	14280 
700000 	0 
127372 	0 
152588 	30600 
121795 	8160 
62818 	0 
158290 	0 
54911 	13219 
622000 	65438 
251882 	59205 
471100 	0 
120000 	0 
183647 	0 
125647 	42203 
124941 	0 
23887 	8670 
200000 	24990 
270200 	16551 
163048 	18360 
215000 	0 
185059 	30804 
207250 	0 
100717 	9996 
62118 	0 
162993 	20400 
83412 	0 
49684 	0 
434700 	0 
222950 	28560 
51000 	28560 
71031 	11220 
62390 	25500 
257606 	13260 
94445 	13838 
570900 	173400 
206000 	30600 
137005 	9180 
300000 	23460 
69813 	16320 
81059 	36720 
414400 	33224 
54494 	25500 
143839 	13260 
600000 	0 
279000 	35700 
360995 	40800 
192096 	30600 
54875 	30396 
83351 	13770 
275550 	35407 
113246 	46920 
75294 	10200 
181077 	49164 
180957 	18360 
116166 	10135 
307375 	26687 
36444 	10200 
291647 	27401 
107657 	20400 
60842 	0 
137005 	9180 
127746 	15810 
66941 	0 
140529 	40800 
224100 	0 
124588 	30600 
219813 	30600 
138125 	18673 
63625 	30600 
569000 	0 
65176 	21420 
31126 	25500 
188625 	11939 
136000 	15300 
143831 	18360 
179353 	29342 
463396 	0 
434690 	0 
100000 	35700 
126588 	0 
137765 	21868 
75138 	13260 
255529 	30600 
97400 	26108 
81882 	0 
137963 	25500 
113232 	7140 
207544 	13668 
52163 	14280 
39399 	8772 
66995 	0 
107882 	13420 
300000 	51000 
254000 	51000 
222753 	14280 
196526 	13219 
348500 	35550 
79966 	19380 
66703 	8160 
107294 	0 
40211 	0 
57713 	12546 
33579 	0 
133851 	0 
140235 	0 
44570 	15300 
65593 	7330 
70105 	30600 
145294 	0 
37579 	25500 
44105 	0 
97529 	0 
118500 	0 
71765 	0 
98375 	40800 
63412 	15300 
136353 	91800 
102588 	13824 
159529 	16320 
132465 	0 
268500 	30600 
162928 	25500 
106400 	0 
43191 	28119 
106900 	35965 
115900 	0 
215863 	32436 
128500 	25500 
206706 	20400 
67600 	0 
189294 	0 
47158 	0 
198488 	0 
131852 	20400 
177200 	0 
36316 	0 
233250 	28560 
279000 	0 
77801 	20400 
65563 	20400 
119089 	15300 
132375 	20400 
53990 	15228 
214303 	11934 
215863 	19992 
65593 	21420 
129855 	35700 
102500 	0 
41467 	27540 
135182 	20400 
34350 	15504 
104875 	19380 
134250 	41820 
153625 	19380 
60842 	0 
590000 	0 
393400 	0 
86000 	34680 
173771 	30600 
222250 	42330 
85293 	13260 
150235 	40800 
101915 	21420 
37789 	0 
111098 	56100 
103600 	0 
143831 	20400 
54875 	20400 
163113 	40800 
124588 	31019 
164000 	18768 
254000 	61200 
470471 	68138 
330471 	30600 
34526 	0 
173891 	33660 
111098 	26413 
77801 	11730 
151463 	0 
139824 	56100 
363919 	30600 
108500 	32028 
38734 	10200 
40000 	35700 
136353 	23460 
215863 	51000 
59978 	12852 
25956 	16320 
75529 	0 
175500 	35190 
362400 	25500 
160376 	14280 
55604 	19890 
55221 	20400 
83412 	0 
357700 	0 
25956 	9180 
71294 	24184 
